POSTCODE,TOTAL_FLOOR_AREA,LONG,LAT,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,PROPERTY_TYPE,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS
EC1Y 0RJ,60.39,-0.095194,51.522054,3rd,N,7.0,Maisonette,3.0,3.0
EC3R 8EE,40.0,-0.08371,51.509924,Ground,N,,Flat,2.0,2.0
EC3R 8BT,45.0,-0.084754,51.50978,2nd,N,,Flat,2.0,2.0
EC4A 3BA,52.0,-0.107695,51.515368,2nd,N,,Flat,2.0,2.0
EC2M 4NR,28.0,-0.07972699999999999,51.51795300000001,mid floor,,,Flat,,
EC2Y 8AU,73.0,-0.091278,51.519535,5th,N,,Flat,3.0,3.0
EC1A 7BD,54.0,-0.098559,51.518864,mid floor,,,Flat,,
EC4A 3EA,28.72,-0.108378,51.514902,2nd,N,4.0,Flat,2.0,2.0
EC3N 2AE,108.0,-0.07878099999999999,51.51131,Ground,Y,,Flat,3.0,3.0
EC2Y 8DL,90.54,-0.094076,51.520884,Ground,Y,,Flat,4.0,4.0
EC2Y 8ND,64.48,-0.095298,51.51991500000001,5th,N,8.0,Flat,2.0,2.0
EC4A 1EQ,120.0,-0.109288,51.517291,4th,Y,,Maisonette,3.0,3.0
EC2Y 8BE,70.6,-0.091416,51.51898900000001,1st,Y,3.0,Maisonette,2.0,2.0
LU7 3AF,67.5,-0.654746,51.92703,NO DATA!,,,House,,
EC4V 6EP,70.0,-0.103277,51.513212,1st,N,,Flat,3.0,3.0
EC2Y 8BU,59.9,-0.096027,51.51902800000001,1st,N,10.0,Flat,2.0,2.0
EC4R 1BR,47.0,-0.093069,51.511572,2nd,N,,Flat,2.0,2.0
EC2Y 8AF,65.0,-0.096899,51.521355,1st,N,,Flat,2.0,2.0
EC1A 7BF,83.0,-0.098636,51.518407,mid floor,,,Flat,,
EC2Y 9AP,37.0,-0.090181,51.519913,9th,N,,Flat,1.0,1.0
EC1A 9PN,54.9,-0.098967,51.519788,5th,Y,6.0,Flat,2.0,2.0
EC2M 4TP,252.49,-0.079398,51.517257,NO DATA!,,,House,7.0,7.0
EC4V 3EJ,38.6,-0.095667,51.510722,2nd,N,,Flat,2.0,2.0
EC2Y 8DH,36.0,-0.096624,51.520962,3rd,N,,Flat,2.0,0.0
EC1A 4HU,60.0,-0.097239,51.518301,2nd,N,,Flat,3.0,3.0
EC1N 2JT,131.0,-0.109977,51.517421,ground floor,,,Flat,,
EC4M 7AS,64.1,-0.101651,51.5135,5th,Y,6.0,Flat,2.0,2.0
EC1Y 0RD,40.0,-0.095999,51.52212100000001,6th,N,,Flat,2.0,2.0
EC4V 5EG,49.7,-0.102414,51.513439,4th,N,,Flat,2.0,2.0
EC2Y 8AX,68.14,-0.092009,51.51860300000001,2nd,N,8.0,Flat,3.0,3.0
EC2Y 8NJ,106.3,-0.094952,51.520251,18th,N,48.0,Flat,5.0,5.0
EC1A 7ES,47.3,-0.098198,51.518469,6th,N,11.0,Flat,2.0,2.0
EC3R 8DR,121.05,-0.084334,51.510177,mid floor,,,Flat,,
EC2Y 8NQ,34.89,-0.094076,51.520884,3rd,N,6.0,Flat,2.0,2.0
EC1A 9LS,33.89,-0.102744,51.517644,7th,Y,,Flat,1.0,1.0
EC2Y 8DQ,41.1,-0.093767,51.521374,7th,N,11.0,Flat,1.0,1.0
EC1Y 0SL,39.0,-0.097382,51.522485,3rd,N,,Flat,1.0,1.0
EC2Y 8DD,106.03,-0.09282,51.520576,21st or above,N,,Flat,5.0,5.0
EC4V 3EH,70.6,-0.095667,51.510722,5th,N,7.0,Flat,3.0,3.0
EC1A 7BX,47.8,-0.098082,51.51711,4th,N,5.0,Flat,2.0,2.0
E1 8RB,45.5,-0.073549,51.512006,1st,N,7.0,Flat,2.0,2.0
EC3R 6AL,53.0,-0.080764,51.508439,mid floor,,,Flat,,
EC4A 1DT,44.0,-0.111296,51.516136,mid floor,,,Flat,,
EC4Y 1JU,32.0,-0.108555,51.514096,top floor,,,Flat,,
EC2Y 8BA,55.8,-0.092009,51.51860300000001,1st,N,10.0,Flat,2.0,2.0
EC4A 1BY,27.0,-0.109901,51.514666,6th,N,,Flat,2.0,2.0
EC4V 5EA,33.03,-0.101627,51.513291,1st,N,3.0,Flat,3.0,3.0
EC2Y 8DE,35.07,-0.095972,51.52069,8th,N,10.0,Flat,1.0,1.0
EC2Y 8BL,67.29,-0.091135,51.518822,3rd,N,7.0,Flat,2.0,2.0
EC4A 2EJ,27.0,-0.109153,51.514636,1st,N,,Flat,1.0,1.0
EC4V 5DT,61.0,-0.101732,51.512852,2nd,N,,Flat,3.0,3.0
E1 7LS,47.6,-0.078312,51.518343,NO DATA!,,,Flat,,
EC1A 7LS,42.0,-0.100163,51.519115,top floor,,,Maisonette,,
EC4R 0DR,76.0,-0.087556,51.510662,1st,N,,Flat,4.0,4.0
EC2Y 8BY,154.5,-0.09677,51.519885,6th,N,41.0,Flat,5.0,5.0
EC4V 3PA,49.54,-0.096682,51.510585,2nd,N,7.0,Flat,3.0,3.0
EC2Y 8BJ,193.0,-0.093402,51.518364,NODATA!,,,House,8.0,8.0
EC2Y 8PQ,40.77,-0.093767,51.521374,2nd,N,7.0,Flat,1.0,1.0
EC2Y 8NA,101.0,-0.09677,51.519885,21st or above,N,,Flat,4.0,4.0
EC4V 3PL,42.24,-0.096176,51.510622,Ground,Y,,Flat,2.0,2.0
EC2Y 8DJ,40.9,-0.097039,51.520672,6th,N,11.0,Flat,1.0,1.0
EC2Y 8BD,143.89,-0.093109,51.519187,5th,N,7.0,Maisonette,4.0,4.0
EC2Y 8BN,81.77,-0.091135,51.518822,Ground,Y,,Flat,3.0,3.0
EC1M 6EB,98.11,-0.098163,51.520699,4th,N,,Flat,2.0,2.0
EC4Y 8AD,69.0,-0.108441,51.513374,1st,N,,Flat,3.0,3.0
EC2Y 8DR,112.0,-0.094952,51.520251,19th,N,,Flat,4.0,4.0
EC2Y 8NH,36.39,-0.094076,51.520884,5th,N,7.0,Flat,2.0,2.0
E1 8AB,55.0,-0.073724,51.51298,2nd,N,,Flat,2.0,2.0
EC3V 1LU,77.8,-0.084121,51.512503,Ground,Y,,Flat,3.0,0.0
EC4V 3PN,65.0,-0.096176,51.510622,4th,N,,Flat,3.0,3.0
EC2Y 9AZ,80.0,-0.090181,51.519913,15th,N,,Flat,3.0,3.0
EC3R 6AP,80.0,-0.080764,51.508439,mid floor,,,Flat,,
EC2Y 9BA,39.0,-0.090181,51.519913,21st or above,N,,Flat,1.0,1.0
E1 7EF,61.08,-0.07710800000000001,51.515796,20th,N,,Flat,3.0,3.0
EC1A 7BB,51.0,-0.098603,51.518154,mid floor,,,Flat,,
EC1A 7BT,75.07,-0.098365,51.516889,2nd,N,8.0,Flat,3.0,3.0
EC2Y 8AY,58.36,-0.092009,51.51860300000001,Ground,N,7.0,Flat,2.0,2.0
