POSTCODE,PRICE
EC1Y 0RJ,660000
EC3R 8EE,4050000
EC3R 8BT,735000
EC4A 3BA,990000
EC2M 4NR,615000
EC2Y 8AU,950000
EC1A 7BD,1176500
EC4A 3EA,715000
EC3N 2AE,840000
EC2Y 8DL,745000
EC2Y 8ND,840000
EC4A 1EQ,552000
EC2Y 8BE,937960
LU7 3AF,331500
EC4V 6EP,2940000
EC2Y 8BU,476000
EC4R 1BR,520000
EC2Y 8AF,1100000
EC1A 7BF,1375000
EC2Y 9AP,540000
EC1A 9PN,765820
EC2M 4TP,169328
EC4V 3EJ,950000
EC2Y 8DH,575000
EC1A 4HU,690000
EC1N 2JT,1420250
EC4M 7AS,600000
EC1Y 0RD,424000
EC4V 5EG,975000
EC2Y 8AX,935000
EC2Y 8NJ,1740000
EC1A 7ES,550000
EC3R 8DR,575000
EC2Y 8NQ,530000
EC1A 9LS,520000
EC2Y 8DQ,515000
EC1Y 0SL,320000
EC2Y 8DD,1800000
EC4V 3EH,455000
EC1A 7BX,784000
E1 8RB,395000
EC3R 6AL,1600000
EC4A 1DT,865000
EC4Y 1JU,150000
EC2Y 8BA,772000
EC4A 1BY,450000
EC4V 5EA,1045000
EC2Y 8DE,495000
EC2Y 8BL,675000
EC4A 2EJ,390000
EC4V 5DT,490000
E1 7LS,11100000
EC1A 7LS,565000
EC4R 0DR,800000
EC2Y 8BY,1635000
EC4V 3PA,525000
EC2Y 8BJ,2100000
EC2Y 8PQ,450000
EC2Y 8NA,1745000
EC4V 3PL,491000
EC2Y 8DJ,974000
EC2Y 8BD,930750
EC2Y 8BN,725000
EC1M 6EB,660000
EC4Y 8AD,102500
EC2Y 8DR,1590000
EC2Y 8NH,1110000
E1 8AB,30000000
EC3V 1LU,15152286
EC4V 3PN,688888
EC2Y 9AZ,765000
EC3R 6AP,1700000
EC2Y 9BA,1280000
E1 7EF,321500
EC1A 7BB,870000
EC1A 7BT,800000
EC2Y 8AY,780000
